state,latitude,longitude,city,name,status,founded_at,first_funding_at,last_funding_at,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,milestones,state_code,category_code,has_VC,has_angel,has_roundA,has_roundB,has_roundC,avg_participants,is_top500,id,funding_duration_first,funding_duration_last,broad_category,funding_category
California,36.116203,-119.681564,San Mateo,Guavus,operating,2006-02-01,2011-10-09,2013-06-10,5.69,7.36,6.52,6.98,4,5,80512816,2,CA,analytics,0,0,0,1,1,3.25,1,13,2076,2686,Software,High
California,37.7929789,-122.4212424,San Francisco,Happy Inspector,closed,2011-10-01,2012-07-18,2012-07-18,0.8,0.8,0.0,0.0,3,1,895000,1,CA,mobile,0,1,0,0,0,2.0,1,14,291,291,software,Low
California,36.116203,-119.681564,Sebastopol,Webvanta,closed,2007-09-01,2008-01-01,2013-01-03,0.33,5.35,2.54,2.54,7,4,1682618,1,CA,public_relations,1,1,1,0,0,1.0,0,15,122,1951,Service,Low
California,34.156971,-118.493484,Encino,uSamp,operating,2008-04-01,2008-04-01,2013-07-15,0.0,5.29,2.23,5.68,15,4,29540000,3,CA,web,0,0,1,1,1,2.0,1,16,0,1931,Software,High
Wisconsin,44.268543,-89.616508,Green Bay,Aver Informatics,operating,2010-06-04,2010-10-27,2013-03-29,0.4,2.82,0.09,0.09,2,3,2475000,1,WI,analytics,0,1,0,0,0,8.0,0,17,145,1029,Software,Medium
Texas,30.355703,-97.797117,Austin,SailPoint Technologies,operating,2005-12-01,2006-01-01,2013-11-29,0.08,8.0,7.42,7.42,10,4,25830908,1,TX,enterprise,0,0,1,1,1,4.0,1,19,31,2920,Software,High
California,36.116203,-119.681564,Mountain View,Bitcasa,operating,2011-01-01,2011-01-01,2013-11-11,0.0,2.86,2.72,2.86,5,4,19500000,2,CA,enterprise,0,1,1,0,0,3.25,1,20,0,1045,Software,High
California,36.116203,-119.681564,Foster City,Balluun,operating,2009-08-14,2013-07-23,2013-07-23,3.94,3.94,2.38,4.19,5,1,8700000,2,CA,ecommerce,0,0,0,1,0,1.0,0,21,1439,1439,Software,Medium
Massachusetts,42.230171,-71.530106,Boston,FitnessKeeper,operating,2008-01-01,2009-11-30,2011-11-21,1.92,3.89,2.92,4.23,6,3,11510000,4,MA,health,1,1,0,1,0,2.67,1,22,699,1420,Service,High
Arkansas,34.969704,-92.373123,Bentonville,Collective Bias,operating,2009-05-11,2009-01-01,2013-04-02,-0.36,3.9,3.75,4.06,22,3,11000000,3,AR,social,0,1,1,0,0,1.0,1,23,-130,1422,Software,Medium
Massachusetts,42.3391849,-71.0367443,Boston,Pingup,operating,2010-05-01,2012-11-20,2012-11-20,2.56,2.56,1.34,1.34,5,1,4000000,1,MA,web,0,0,1,0,0,1.0,1,24,934,934,Software,Medium
Florida,27.766279,-81.686783,Miami Beach,Billfish Software,operating,2007-10-15,2010-10-15,2010-10-15,3.0,3.0,-0.04,-0.04,1,1,500000,1,FL,enterprise,0,1,0,0,0,1.0,0,25,1096,1096,Software,Low
Illinois,40.349457,-88.986137,Carbondale,orderbolt,closed,2011-07-31,2012-01-22,2012-01-22,0.48,0.48,0.42,0.59,7,1,48501,2,IL,software,0,1,0,0,0,4.0,0,26,175,175,Software,Low
California,37.477008,-122.151599,Menlo Park,Personalis,operating,2011-08-01,2011-08-15,2013-10-07,0.04,2.19,1.42,1.42,12,2,42000000,1,CA,biotech,0,0,1,1,0,3.0,1,28,14,798,software,High
Washington,47.6077158,-122.3397906,Seattle,Buck,operating,2007-01-01,2011-04-06,2011-06-21,4.26,4.47,4.5,5.13,9,3,6865000,2,WA,mobile,1,0,0,1,0,2.5,1,29,1556,1632,software,Medium
Florida,28.757202,-81.334464,Lake Mary,Spectrum Bridge,operating,2007-03-01,2008-09-05,2011-09-13,1.52,4.54,1.52,1.52,8,4,23326001,1,FL,network_hosting,0,0,0,1,0,3.33,1,30,554,1657,Software,High
Massachusetts,42.230171,-71.530106,Southborough,Credorax,operating,2008-01-01,2011-09-19,2013-08-27,3.72,5.66,3.0,3.0,1,3,40000000,1,MA,ecommerce,1,0,0,0,0,1.0,1,31,1357,2065,Software,High
New York,40.7388319,-73.9815337,New York,"LeadSpend, Inc.",closed,2008-11-01,2011-08-01,2011-08-01,2.75,2.75,2.5,2.5,3,1,250000,1,NY,messaging,0,1,0,0,0,3.0,0,32,1003,1003,Software,Low
New York,42.165726,-74.948051,New York,Plastyc,operating,2006-01-01,2011-02-06,2011-02-06,5.1,5.1,5.09,6.58,10,1,2000000,2,NY,finance,0,0,0,1,0,1.0,0,34,1862,1862,Service,Low
Massachusetts,42.355077,-71.056928,Boston,Xactly Corp,operating,2005-03-01,2006-03-24,2012-10-01,1.06,7.59,1.84,1.84,17,6,73870000,1,MA,analytics,1,0,0,1,1,4.0,1,35,388,2771,Software,High
Utah,40.234939,-111.658494,Provo,i.TV,operating,2008-10-01,2013-08-12,2013-12-09,4.87,5.19,3.5,5.1,7,2,9197854,2,UT,games_video,1,0,0,0,0,1.0,0,36,1776,1895,Software,Medium
California,37.78985,-122.400683,San Francisco,Expensify,operating,2008-05-01,2009-05-01,2010-09-07,1.0,2.35,1.63,4.02,7,2,6700000,3,CA,software,0,1,1,0,0,4.0,1,37,365,859,Software,Medium
Kentucky,37.66814,-84.670067,Lexington,BuildingLayer,closed,2011-01-01,2011-06-01,2011-06-01,0.41,0.41,0.41,0.41,4,1,20000,1,KY,software,0,1,0,0,0,2.0,1,38,151,151,Software,Low
New York,42.165726,-74.948051,New York,Pricing Engine,operating,2011-06-06,2011-06-06,2013-03-27,0.0,1.81,-0.01,2.39,2,3,1725000,2,NY,advertising,0,1,0,0,0,1.0,1,40,0,660,Service,Low
California,41.889832,-87.626718,Palo Alto,Inadco,operating,2008-04-01,2009-01-01,2013-06-26,0.75,5.24,3.84,5.24,12,3,17000000,3,CA,advertising,0,1,1,1,0,2.33,1,42,275,1912,Service,High
New York,40.733928,-73.991334,New York,Buzzd,operating,2007-11-01,2008-04-24,2011-08-11,0.48,3.78,2.44,3.46,9,4,4000000,2,NY,mobile,0,0,1,0,0,3.0,1,43,175,1379,software,Medium
California,36.116203,-119.681564,San Jose,Nimble Storage,operating,2008-01-01,2010-12-08,2012-09-10,2.94,4.7,4.59,5.8,14,3,81700000,3,CA,enterprise,0,0,0,0,1,4.0,1,44,1072,1714,Software,High
California,36.116203,-119.681564,Mountain View,Hall,operating,2011-01-01,2011-10-17,2013-07-23,0.79,2.56,2.68,2.68,7,2,6080000,1,CA,messaging,0,1,1,0,0,3.5,1,45,289,934,Software,Medium
California,37.553743,-122.300246,San Mateo,Veodia,operating,2006-01-01,2008-05-12,2008-05-12,2.36,2.36,2.25,3.52,4,1,8300000,3,CA,games_video,0,0,1,0,0,2.0,1,46,862,862,Software,Medium
California,37.5758867,-122.3277578,Manhattan Beach,DealBase Corporation,closed,2008-06-01,2009-05-08,2009-05-08,0.93,0.93,0.92,3.75,9,1,1000000,2,CA,web,0,1,0,0,0,3.0,1,47,341,341,Software,Low
Florida,30.310978,-81.657707,Jacksonville,Cliqset,closed,2008-08-08,2008-09-14,2009-06-01,0.1,0.81,2.34,3.06,4,2,2000000,2,FL,web,0,1,0,0,0,1.0,0,48,37,297,Software,Low
California,36.116203,-119.681564,El Segundo,JustFab,operating,2010-02-01,2011-09-21,2013-09-26,1.64,3.65,0.92,3.55,2,3,149000000,3,CA,fashion,0,0,1,1,1,3.67,1,49,597,1333,Business,High
Massachusetts,42.230171,-71.530106,Marlborough,Bridge Energy Group,operating,2006-01-01,2011-09-19,2011-10-03,5.72,5.76,5.0,5.0,12,2,11000000,1,MA,consulting,1,0,1,0,0,1.0,1,50,2087,2101,Business,Medium
New York,42.165726,-74.948051,New York,Startapp,operating,2010-12-01,2012-03-27,2012-03-27,1.32,1.32,1.05,1.63,0,1,4300000,2,NY,mobile,0,0,1,0,0,2.0,1,51,482,482,software,Medium
Wisconsin,43.090002,-89.5227621,Middleton,Alice.com,operating,2008-06-01,2010-10-10,2012-01-31,2.36,3.67,0.0,3.67,4,2,21827665,3,WI,ecommerce,0,0,1,0,0,2.0,0,52,861,1339,Software,High
New York,40.621591,-73.960717,New York,Payoneer,operating,2005-04-01,2005-01-01,2008-07-24,-0.25,3.32,6.05,7.92,13,3,14000000,2,NY,other,0,0,1,1,0,2.67,1,53,-90,1210,Business,High
Massachusetts,42.230171,-71.530106,Lexington,FirstFuel Software,operating,2011-09-01,2011-09-22,2013-12-10,0.06,2.28,1.0,1.0,6,3,20900000,1,MA,analytics,1,0,1,1,0,3.0,1,54,21,831,Software,High
Georgia,33.040619,-83.643074,Atlanta,SalesLoft,closed,2011-09-12,2011-09-12,2012-05-17,0.0,0.68,0.68,1.55,5,2,18000,2,GA,software,0,1,0,0,0,1.5,1,55,0,248,Software,Low
California,37.804619,-122.371203,San Francisco,Brightstorm,closed,2008-04-01,2008-10-21,2008-10-21,0.56,0.56,0.0,1.72,2,1,6000000,2,CA,games_video,0,0,1,0,0,1.0,0,56,203,203,Software,Medium
California,37.787954,-122.399347,San Francisco,PacketTrap Networks,operating,2006-01-01,2007-08-01,2007-08-01,1.58,1.58,1.16,1.16,6,1,5500000,1,CA,software,0,0,1,0,0,1.0,1,57,577,577,Software,Medium
Minnesota,45.694454,-93.900192,Minnetonka,FieldSolutions,closed,2006-01-01,2010-07-01,2010-07-01,4.5,4.5,5.5,5.5,5,1,1500000,1,MN,hardware,1,0,0,0,0,1.0,0,58,1642,1642,Hardware,Low
California,37.383526,-122.012808,San Jose,RiseSmart,operating,2007-02-01,2008-12-09,2012-02-01,1.85,5.0,1.67,4.86,12,4,12600000,4,CA,enterprise,1,0,1,0,0,1.5,1,59,677,1826,Software,High
California,36.116203,-119.681564,Redwood City,Trion Worlds,operating,2006-01-01,2007-07-09,2013-04-01,1.52,7.25,5.29,7.01,24,4,190120000,3,CA,games_video,1,0,0,1,1,3.75,1,60,554,2647,Software,High
Pennsylvania,40.590752,-77.209755,Philadelphia,CloudMine,operating,2011-05-01,2011-09-01,2013-03-21,0.34,1.89,1.89,2.0,10,4,1105000,2,PA,enterprise,1,1,0,0,0,1.0,1,61,123,690,Software,Low
California,36.116203,-119.681564,San Francisco,World Golf Tour,operating,2007-02-01,2008-05-01,2012-10-01,1.25,5.67,1.68,5.22,5,3,21000000,3,CA,sports,1,0,0,1,1,2.33,1,62,455,2069,Service,High
California,30.268735,-97.745209,San Francisco,GameSalad,closed,2007-08-27,2010-07-14,2011-03-31,2.88,3.59,4.2,4.93,20,2,7100000,2,CA,games_video,0,0,1,0,0,9.5,1,64,1052,1312,Software,Medium
Nevada,32.7801399,-96.8004511,Las Vegas,OrderWithMe,operating,2011-03-01,2011-12-08,2013-12-04,0.77,2.76,1.35,2.59,5,2,9000000,2,NV,software,0,0,1,1,0,4.0,1,65,282,1009,Software,Medium
California,37.51821,-122.044025,Newark,Lumenergi,operating,2008-01-01,2008-02-14,2012-03-13,0.12,4.2,2.65,4.12,1,3,26400000,2,CA,cleantech,0,0,1,1,0,2.0,1,66,44,1533,Business,High
Washington,47.6778363,-122.1979178,Kirkland,Buddy,operating,2011-09-22,2011-12-28,2012-05-30,0.27,0.69,1.44,2.07,13,2,1175000,3,WA,enterprise,0,1,0,0,0,3.0,1,67,97,251,Software,Low
Texas,32.800325,-96.820064,Dallas,Big In Japan,closed,2008-07-01,2008-09-18,2008-09-18,0.22,0.22,1.67,1.67,3,1,700000,2,TX,mobile,0,1,0,0,0,1.0,0,68,79,79,software,Low
Washington,47.614761,-122.198904,Bellevue,Finsphere,operating,2007-01-01,2008-06-06,2013-12-10,1.43,6.95,5.0,5.0,22,4,30700000,1,WA,mobile,1,0,1,0,0,2.0,1,69,522,2535,software,High
California,37.779624,-122.391236,San Francisco,Smule,operating,2008-01-01,2008-01-01,2011-10-31,0.0,3.83,3.58,5.75,24,4,25500000,2,CA,music,1,0,1,0,1,2.5,1,70,0,1399,Service,High
California,36.116203,-119.681564,San Francisco,Unmetric,operating,2011-02-01,2012-04-13,2013-09-01,1.2,2.58,1.65,2.63,11,2,8700000,3,CA,analytics,0,0,1,1,0,1.5,1,71,437,943,Software,Medium
California,37.388095,-122.08276,Mountain View,TrialPay,operating,2006-02-09,2007-02-20,2012-01-31,1.03,5.98,5.9,7.33,25,3,55800000,2,CA,advertising,0,0,1,1,1,7.33,1,72,376,2182,Service,High
New Jersey,40.913231,-73.959033,Tenafly,BitWine,operating,2005-12-01,2008-10-05,2008-10-05,2.85,2.85,0.08,5.27,4,2,22500000,4,NJ,mobile,1,0,1,0,0,1.0,0,73,1039,1039,software,High
California,37.3323666,-121.8917656,San Jose,Modria,operating,2011-04-01,2012-11-15,2013-07-01,1.63,2.25,2.25,2.25,23,2,7500000,1,CA,legal,0,0,1,0,0,2.5,1,74,594,822,Service,Medium
Utah,40.250096,-111.643179,Provo,FamilyLink,operating,2006-06-01,2007-08-01,2008-02-25,1.17,1.74,5.48,6.93,12,2,3650000,2,UT,web,0,0,1,1,0,2.0,1,75,426,634,Software,Medium
New York,40.741266,-73.990753,New York,eXelate,operating,2007-01-01,2007-10-01,2012-09-24,0.75,5.73,1.37,6.01,26,3,32000000,4,NY,advertising,0,0,1,1,1,2.67,1,76,273,2093,Service,High
California,34.030685,-118.464223,Los Angeles,Savings.com,operating,2007-01-01,2005-01-01,2008-11-12,-2.0,1.87,2.75,4.16,17,4,10000000,3,CA,web,0,0,1,1,0,1.0,1,78,-730,681,Software,Medium
California,37.503959,-122.249085,San Carlos,Livingly Media,operating,2006-01-01,2007-08-01,2012-05-01,1.58,6.33,6.59,6.67,6,2,15700000,2,CA,advertising,0,0,1,1,0,4.0,1,79,577,2312,Service,High
Florida,27.766279,-81.686783,Tampa,Synergy Hub,operating,2010-01-01,2011-03-06,2011-03-06,1.18,1.18,3.75,3.75,2,1,50000,1,FL,consulting,0,1,0,0,0,1.0,0,81,429,429,Business,Low
California,37.782163,-122.400591,San Francisco,Reframe It,closed,2007-02-01,2008-10-08,2010-01-08,1.68,2.94,1.68,3.39,12,2,3000000,3,CA,web,0,1,0,0,0,2.0,0,82,615,1072,Software,Medium
New York,40.738143,-74.008159,New York,Sailthru,operating,2008-06-01,2010-07-26,2013-02-11,2.15,4.7,4.7,5.28,18,3,28000000,2,NY,public_relations,0,1,1,1,0,5.67,1,83,785,1716,Service,High
New York,42.165726,-74.948051,Great Neck,DoesThatMakeSense.com,operating,2009-09-01,2009-09-01,2009-09-01,0.0,0.0,0.0,2.75,2,1,250000,2,NY,education,0,1,0,0,0,1.0,0,84,0,0,Service,Low
Pennsylvania,40.0018743,-75.2747196,Conshohocken,Poptent,operating,2007-03-01,2010-10-21,2012-07-12,3.64,5.37,1.61,6.26,11,2,8500000,2,PA,photo_video,1,0,1,0,0,1.0,1,85,1330,1960,Software,Medium
California,37.444098,-122.161287,Santa Clara,Nexenta Systems,operating,2005-09-26,2012-01-18,2013-02-27,6.32,7.43,6.32,7.43,13,4,49860000,3,CA,software,1,0,0,0,1,4.25,1,86,2305,2711,Software,High
California,37.458766,-122.172519,Palo Alto,Britely,operating,2007-01-01,2007-01-01,2009-09-03,0.0,2.67,2.42,5.33,7,3,3900000,2,CA,web,0,1,1,0,0,2.5,1,88,0,976,Software,Medium
California,37.786906,-122.397672,San Francisco,Disqus,operating,2007-05-05,2007-06-01,2011-05-04,0.07,4.0,3.54,6.03,22,4,20500000,4,CA,web,0,1,1,0,1,2.0,1,89,27,1460,Software,High
California,37.7864012,-122.4052321,San Francisco,Lift Worldwide,operating,2011-08-22,2011-08-22,2012-11-28,0.0,1.27,2.09,2.09,3,2,2500000,1,CA,web,0,1,1,0,0,1.5,1,90,0,464,Software,Medium
Indiana,39.849426,-86.258278,Indianapolis,BidPal Network,operating,2008-01-01,2011-07-08,2013-11-14,3.52,5.87,-1.0,-1.0,13,5,10785800,1,IN,nonprofit,0,0,0,1,0,2.0,1,91,1284,2144,Service,Medium
Massachusetts,42.378747,-72.519987,Boston,Dailybreak Media,operating,2008-05-01,2010-03-01,2013-06-11,1.83,5.12,-0.43,5.29,22,4,10510000,4,MA,advertising,1,1,1,0,0,2.67,1,92,669,1867,Service,Medium
California,37.406027,-121.918642,Milpitas,Vuclip,operating,2008-01-01,2009-09-22,2012-11-15,1.73,4.88,5.3,5.45,21,3,27000000,3,CA,photo_video,0,0,0,1,1,2.33,1,94,630,1780,Software,High
California,37.420728,-122.2103414,San Francisco,Booyah,operating,2008-08-01,2008-04-30,2013-03-28,-0.25,4.66,2.04,4.66,16,4,59500000,3,CA,games_video,0,0,1,1,1,2.33,1,95,-93,1700,Software,High
Colorado,39.059811,-105.311104,Boulder,MinuteKey,operating,2008-01-01,2011-09-29,2012-10-04,3.75,4.76,1.67,1.67,2,2,20600000,1,CO,hardware,1,0,0,1,0,2.0,1,96,1367,1738,Hardware,High
California,36.116203,-119.681564,San Mateo,FanSnap,operating,2007-01-01,2008-11-24,2009-08-12,1.9,2.61,4.93,4.94,9,3,15700000,2,CA,web,0,0,1,1,0,2.33,1,98,693,954,Software,High
California,36.116203,-119.681564,San Francisco,Pantheon,operating,2010-09-01,2010-09-01,2012-06-26,0.0,1.82,0.33,2.62,5,3,11300009,3,CA,enterprise,0,1,1,0,0,4.0,1,99,0,664,Software,Medium
California,36.116203,-119.681564,Santa Clara,Salorix,operating,2009-03-01,2011-11-14,2011-11-14,2.71,2.71,2.08,3.79,4,1,3500000,2,CA,advertising,0,0,1,0,0,2.0,1,100,988,988,Service,Medium
California,39.9052263,-86.0547016,San Francisco,Formspring,operating,2009-11-25,2010-01-15,2011-01-11,0.14,1.13,1.35,2.59,13,3,14255000,3,CA,web,1,0,1,0,0,6.5,1,101,51,412,Software,High
North Carolina,36.002893,-78.904075,Durham,ReverbNation,operating,2006-10-23,2006-08-17,2008-10-09,-0.18,1.96,6.52,7.07,13,2,5000000,2,NC,software,0,0,1,1,0,1.5,1,102,-67,717,Software,Medium
California,37.55909,-122.321836,Burlingame,isocket,operating,2009-08-01,2009-08-27,2012-11-01,0.07,3.25,4.19,4.19,24,3,10104119,2,CA,advertising,0,0,1,0,0,8.67,1,103,26,1188,Service,Medium
California,36.116203,-119.681564,San Jose,Sophia Search,closed,2007-07-18,2010-06-25,2013-03-04,2.94,5.63,5.63,6.21,20,2,4900000,2,CA,search,0,1,1,0,0,1.0,0,104,1073,2056,Software,Medium
Massachusetts,42.4535146,-71.4092198,Concord,ShopAdvisor,closed,2011-01-21,2012-05-16,2013-08-16,1.32,2.57,1.7,1.7,4,2,6950000,1,MA,advertising,1,0,0,0,0,5.0,0,105,481,938,Service,Medium
Wisconsin,44.268543,-89.616508,Eau Claire,PictureMe Universe,operating,2010-07-18,2011-04-12,2011-11-11,0.73,1.32,0.85,0.85,3,3,5000,1,WI,photo_video,0,0,0,0,0,1.0,0,106,268,481,Software,Low
California,37.794643,-122.401144,San Francisco,BrightRoll,operating,2006-01-01,2006-11-01,2011-11-15,0.83,5.87,4.38,7.83,23,4,46000000,4,CA,advertising,0,1,1,1,1,4.0,1,107,304,2144,Service,High
North Carolina,35.7998482,-78.8722341,Durham,StatSheet,operating,2007-06-01,2010-08-04,2011-09-12,3.18,4.28,1.12,4.5,4,2,5300000,3,NC,sports,1,0,1,0,0,3.0,1,109,1160,1564,Service,Medium
California,37.781262,-122.394958,San Francisco,Dipity,operating,2007-04-12,2007-09-01,2007-09-01,0.39,0.39,1.48,2.73,12,1,900000,3,CA,web,0,1,0,0,0,3.0,1,111,142,142,Software,Low
California,37.09024,-95.712891,San Francisco,DogTime Media,operating,2006-01-01,2007-09-01,2007-09-01,1.67,1.67,1.0,6.15,3,1,1000000,3,CA,web,0,1,0,0,0,1.0,1,112,608,608,Software,Low
Massachusetts,42.525491,-71.429502,Acton,Azuki Systems,operating,2008-01-01,2007-09-01,2012-10-04,-0.33,4.76,2.92,3.0,16,6,28100000,2,MA,enterprise,1,0,1,1,0,2.0,1,113,-122,1738,Software,High
Maryland,39.276119,-76.612757,Baltimore,Parking Panda,closed,2011-04-17,2011-06-06,2013-03-05,0.14,1.88,1.42,1.55,8,2,4725000,2,MD,transportation,0,1,1,0,0,1.0,1,114,50,688,Business,Medium
Colorado,39.738499,-105.158645,Denver,TrackVia,operating,2006-01-01,2007-06-01,2012-09-24,1.41,6.73,6.73,6.92,7,4,9021221,2,CO,software,1,1,1,1,0,4.0,1,115,516,2458,Software,Medium
New York,40.744618,-73.987764,New York,Yipit,operating,2010-02-10,2010-04-07,2011-06-21,0.15,1.36,0.39,3.18,4,3,7550000,3,NY,web,0,1,1,1,0,6.0,1,118,56,496,Software,Medium
California,37.781262,-122.394958,San Francisco,Virgance,closed,2008-05-01,2009-02-20,2009-02-20,0.81,0.81,1.78,3.16,6,1,750000,2,CA,web,0,1,0,0,0,1.0,1,119,295,295,Software,Low
Washington,47.6196804,-122.3567563,Seattle,Cheezburger,operating,2007-09-27,2007-01-01,2012-12-29,-0.74,5.26,3.27,4.6,10,5,69000000,2,WA,news,1,0,1,0,0,3.4,1,120,-269,1920,Service,High
Florida,27.766279,-81.686783,St. Petersburg,Tower Cloud,operating,2006-01-01,2009-10-19,2013-08-26,3.8,7.65,1.67,1.67,3,4,109046753,1,FL,enterprise,1,0,0,0,0,6.33,1,121,1387,2794,Software,High
California,37.530893,-122.245087,San Mateo,MyBuys,operating,2006-01-01,2007-02-21,2013-10-17,1.14,7.8,4.67,6.89,15,5,38300000,4,CA,advertising,0,1,1,1,1,2.0,1,122,416,2846,Service,High
California,37.7726402,-122.4099154,San Francisco,Podaddies,operating,2006-01-01,2007-10-01,2007-10-01,1.75,1.75,0.0,3.77,1,1,1000000,3,CA,advertising,0,1,0,0,0,2.0,1,123,638,638,Service,Low
Massachusetts,42.230171,-71.530106,Newton,Sonian,operating,2007-05-01,2009-09-15,2013-11-26,2.38,6.58,4.67,6.36,3,4,36200000,4,MA,enterprise,1,0,1,1,1,3.0,1,124,868,2401,Software,High
New York,42.165726,-74.948051,New York,Selectable Media,operating,2011-05-01,2008-11-24,2012-12-11,-2.43,1.62,1.17,1.17,4,3,4570000,1,NY,advertising,1,0,1,1,0,1.33,1,125,-888,590,Service,Medium
New York,37.636288,-122.42689,New York,Yieldex,operating,2007-01-01,2009-02-18,2011-09-28,2.13,4.74,1.89,5.0,10,3,18500000,3,NY,advertising,0,0,0,1,1,3.0,1,126,779,1731,Service,High
Wisconsin,43.068006,-89.39256,Madison,StudyBlue,operating,2009-01-01,2009-06-30,2013-01-04,0.49,4.01,4.01,4.42,13,5,18453939,2,WI,education,1,0,1,0,0,1.0,1,127,180,1464,Service,High
California,36.116203,-119.681564,San Francisco,Lookout,operating,2007-01-01,2009-12-22,2013-10-10,2.98,6.78,3.5,6.78,29,5,131000000,3,CA,security,1,0,1,1,1,4.4,1,128,1086,2474,Service,High
California,36.116203,-119.681564,San Francisco,Wrapp,operating,2011-05-01,2011-11-14,2013-06-13,0.54,2.12,1.42,1.72,7,3,25500000,3,CA,web,0,0,1,1,0,3.67,1,129,197,774,Software,High
California,36.116203,-119.681564,San Francisco,Lovely,operating,2011-03-01,2012-10-01,2013-11-21,1.59,2.73,-1.16,2.78,6,2,2000000,2,CA,real_estate,0,0,1,0,0,5.0,1,130,580,996,Business,Low
California,37.4069445,-121.9797628,Santa Clara,Billeo,operating,2006-01-01,2006-04-01,2012-07-01,0.25,6.5,1.87,5.53,19,3,15260000,3,CA,ecommerce,1,0,1,1,0,3.67,1,131,90,2373,Software,High
California,36.116203,-119.681564,Redwood City,Education.com,operating,2006-09-01,2006-08-01,2012-10-01,-0.08,6.09,5.5,5.5,9,5,30260000,1,CA,education,1,0,1,1,1,2.0,1,132,-31,2222,Service,High
California,37.771706,-122.402683,San Francisco,Liquor.com,operating,2008-11-24,2013-07-17,2013-07-17,4.65,4.65,0.71,2.63,18,1,3100000,2,CA,web,0,0,0,1,0,1.0,0,133,1696,1696,Software,Medium
Maryland,39.063946,-76.802101,Bethesda,Spree Commerce,closed,2011-07-01,2011-10-10,2011-10-10,0.28,0.28,0.5,0.5,2,1,1500000,1,MD,ecommerce,0,0,0,0,0,3.0,1,134,101,101,Software,Low
California,38.6456907,-121.1268303,Folsom,SynapSense,operating,2006-06-01,2006-05-30,2013-07-11,-0.01,7.12,2.84,5.13,22,6,43500000,2,CA,network_hosting,1,0,0,1,1,4.67,1,135,-2,2597,Software,High
California,37.3813444,-122.1802812,Palo Alto,Blueseed,operating,2011-07-31,2011-09-30,2013-06-19,0.17,1.89,1.35,1.81,10,3,450000,3,CA,travel,1,1,0,0,0,3.5,1,136,61,689,Service,Low
California,37.386774,-121.987661,Sunnyvale,Infoaxe,closed,2007-12-13,2008-03-31,2010-08-20,0.3,2.69,4.54,4.54,7,2,3900000,1,CA,search,0,1,1,0,0,2.5,1,137,109,981,Software,Medium
